product_id,name,category,price,description
1,Wireless Earbuds,Audio,49.99,"Bluetooth 5.0, noise-canceling, 24h battery"
2,Noise Cancelling Headphones,Audio,99.99,"Over-ear, active noise cancellation"
3,USB-C Charger,Accessories,19.99,"Fast charge 45W, compact design"
4,Running Shoes,Sports,79.99,"Lightweight, breathable mesh"
5,Smartwatch,Electronics,129.99,"Heart rate, GPS, waterproof"
6,Laptop Backpack,Accessories,39.99,"Water-resistant, multiple compartments"
7,Mechanical Keyboard,Electronics,89.99,"RGB lighting, blue switches"
8,Gaming Mouse,Electronics,29.99,"Adjustable DPI, ergonomic design"
9,Fitness Tracker,Sports,59.99,"Step counter, calorie tracking"
10,4K Monitor,Electronics,249.99,"27-inch UHD, HDR support"
11,Wireless Speaker,Audio,59.99,"Portable, waterproof, 12h battery"
12,Smartphone Stand,Accessories,14.99,"Adjustable angle, aluminum"
13,Power Bank,Accessories,24.99,"10000mAh, fast charging"
14,Bluetooth Keyboard,Electronics,45.99,"Slim, multi-device pairing"
15,Digital Camera,Electronics,399.99,"24MP, 4K video"
16,Tripod,Accessories,34.99,"Lightweight, extendable"
17,Smart TV,Electronics,499.99,"55-inch, 4K HDR, Wi-Fi"
18,HDMI Cable,Accessories,9.99,"2m length, 4K compatible"
19,Portable Hard Drive,Electronics,79.99,"1TB storage, USB 3.0"
20,VR Headset,Electronics,299.99,"Immersive gaming experience"
